symbol,date,price_open,price_high,price_low,price_avg,price_close,trade_volume,trade_value
CPALL,2018-11-23,68.25,68.75,67.75,68.27,68.50,18003.17,1229.10
CPALL,2018-11-26,68.75,69.00,68.25,68.70,68.75,14455.03,993.00
CPALL,2018-11-27,68.50,69.00,68.25,68.55,68.75,23628.51,1619.81
CPALL,2018-11-28,68.75,69.00,68.50,68.74,68.75,14068.66,967.03
CPALL,2018-11-29,69.00,69.25,68.50,68.87,68.50,16616.32,1144.38
CPALL,2018-11-30,68.50,68.75,67.75,68.20,68.25,27035.75,1843.96
CPALL,2018-12-03,69.25,71.75,69.00,70.54,71.50,104403.60,7364.99
CPALL,2018-12-04,71.50,71.75,71.00,71.51,71.75,38577.32,2759.38
CPALL,2018-12-06,70.50,71.00,70.50,70.74,70.75,20668.90,1462.05
CPALL,2018-12-07,70.75,71.75,70.75,71.30,71.50,17147.39,1222.56
CPALL,2018-12-11,71.00,71.75,70.25,70.91,70.25,43974.12,3118.19
CPALL,2018-12-12,71.00,71.50,70.50,70.94,70.75,21943.24,1556.67
CPALL,2018-12-13,71.25,71.25,70.50,70.86,70.75,21544.58,1526.60
CPALL,2018-12-14,70.50,71.00,70.50,70.79,71.00,15527.87,1099.29
CPALL,2018-12-17,70.75,71.25,69.75,70.37,70.00,31528.69,2218.67
CPALL,2018-12-18,69.75,70.50,69.25,69.91,70.25,19256.96,1346.19
CPALL,2018-12-19,70.25,70.25,69.75,70.00,70.00,16952.38,1186.62
CPALL,2018-12-20,69.75,70.00,69.50,69.75,70.00,10461.06,729.67
CPALL,2018-12-21,69.50,70.00,69.25,69.45,69.25,20165.66,1400.45
CPALL,2018-12-24,69.25,69.75,69.25,69.46,69.50,8806.96,611.74
CPALL,2018-12-25,69.00,69.25,68.50,68.90,69.00,13894.01,957.29
CPALL,2018-12-26,69.00,69.25,68.50,68.90,69.00,24585.62,1694.07
CPALL,2018-12-27,69.25,69.25,68.25,68.81,68.75,27869.79,1917.78
CPALL,2018-12-28,68.75,69.25,68.50,68.84,68.75,26155.08,1800.92
CPALL,2019-01-02,69.00,70.50,68.75,69.86,70.25,32878.77,2296.91
CPALL,2019-01-03,70.50,72.00,70.50,71.37,70.50,59896.92,4274.63
CPALL,2019-01-04,71.50,72.50,71.25,72.05,72.25,62042.65,4470.16
CPALL,2019-01-07,72.75,73.00,72.25,72.77,73.00,31042.36,2259.06
CPALL,2019-01-08,73.00,73.00,72.25,72.69,72.50,45469.69,3305.45
CPALL,2019-01-09,73.00,73.25,72.50,72.74,72.50,23162.18,1685.00
CPALL,2019-01-10,72.75,74.00,72.75,73.49,74.00,47990.34,3527.41
CPALL,2019-01-11,74.00,75.00,73.75,74.52,74.75,41382.52,3083.83
CPALL,2019-01-14,74.75,75.00,74.00,74.62,74.50,19714.92,1471.11
CPALL,2019-01-15,74.75,75.00,73.75,74.37,74.25,33036.33,2457.30
CPALL,2019-01-16,74.75,74.75,73.75,74.24,74.25,30637.79,2274.69
CPALL,2019-01-17,74.25,74.50,74.00,74.39,74.25,14955.98,1112.63
CPALL,2019-01-18,74.75,75.75,74.50,75.11,74.75,39698.21,2981.89
CPALL,2019-01-21,75.25,76.00,75.00,75.57,75.75,27612.59,2086.67
CPALL,2019-01-22,75.50,75.75,74.75,75.18,75.25,41108.02,3090.45
CPALL,2019-01-23,75.25,75.75,75.00,75.54,75.50,27989.37,2114.44
CPALL,2019-01-24,76.25,77.25,76.00,76.84,77.00,72787.40,5593.17
CPALL,2019-01-25,77.25,78.75,76.75,77.54,77.25,72981.98,5658.91
CPALL,2019-01-28,77.50,77.75,77.00,77.38,77.50,19867.42,1537.40
CPALL,2019-01-29,77.50,78.75,77.00,78.10,78.75,34801.96,2718.18
CPALL,2019-01-30,79.00,79.25,77.50,78.17,78.00,32885.99,2570.55
CPALL,2019-01-31,78.50,78.50,77.50,77.91,77.75,23946.08,1865.62
CPALL,2019-02-01,77.75,78.00,76.75,77.32,77.25,24795.37,1917.07
CPALL,2019-02-04,77.75,78.00,77.25,77.70,77.75,10617.86,824.97
CPALL,2019-02-05,77.75,78.25,77.50,77.85,78.00,8378.82,652.31
CPALL,2019-02-06,78.00,78.50,77.75,78.15,78.25,11431.19,893.31
CPALL,2019-02-07,78.00,78.25,76.50,77.14,76.50,37053.25,2858.20
CPALL,2019-02-08,76.75,77.25,76.00,76.67,76.75,28364.92,2174.76
CPALL,2019-02-11,76.75,77.25,76.50,76.79,76.75,15519.55,1191.77
CPALL,2019-02-12,76.75,77.75,76.75,77.24,77.50,15318.40,1183.19
CPALL,2019-02-13,77.75,78.00,77.25,77.60,77.50,12869.21,998.69
CPALL,2019-02-14,77.75,78.00,77.50,77.75,77.50,19038.02,1480.11
CPALL,2019-02-15,77.50,77.50,76.75,77.08,77.00,17769.86,1369.66
CPALL,2019-02-18,77.25,77.50,76.75,77.10,77.25,9943.63,766.67
CPALL,2019-02-20,77.50,77.50,75.75,76.49,77.00,45529.62,3482.70
CPALL,2019-02-21,77.25,77.50,76.25,76.73,76.75,31835.46,2442.61
CPALL,2019-02-22,77.50,78.75,77.25,78.24,78.75,54655.19,4276.16
CPALL,2019-02-25,79.50,80.50,79.25,79.98,80.25,44717.96,3576.58
CPALL,2019-02-26,79.75,80.25,79.50,79.89,80.00,20573.91,1643.74
CPALL,2019-02-27,79.75,80.00,78.25,78.82,78.50,37960.02,2992.06
CPALL,2019-02-28,78.50,79.00,77.75,78.17,77.75,24204.78,1891.94
CPALL,2019-03-01,78.25,78.25,77.50,78.00,77.75,13999.32,1091.98
CPALL,2019-03-04,78.25,78.25,77.25,77.71,77.25,11211.01,871.16
CPALL,2019-03-05,77.25,77.75,76.75,77.26,77.50,14054.99,1085.95
CPALL,2019-03-06,77.50,78.00,76.25,77.02,76.50,21919.54,1688.30
CPALL,2019-03-07,76.50,77.50,76.50,77.01,77.50,18304.19,1409.56
CPALL,2019-03-08,77.25,78.00,77.25,77.45,77.25,11708.27,906.84
CPALL,2019-03-11,77.75,78.00,77.25,77.53,77.25,8791.21,681.66
CPALL,2019-03-12,77.50,77.75,76.75,77.06,76.75,15189.49,1170.52
CPALL,2019-03-13,76.75,77.75,76.50,77.03,77.50,17954.58,1382.95
CPALL,2019-03-14,77.25,77.50,76.75,77.08,77.25,13335.46,1027.86
CPALL,2019-03-15,77.25,77.50,75.50,76.01,75.50,34709.41,2638.17
CPALL,2019-03-18,75.50,75.75,73.75,74.36,74.25,48573.95,3611.80
CPALL,2019-03-19,74.25,75.75,74.25,75.00,75.50,19209.11,1440.69
CPALL,2019-03-20,76.00,76.25,75.50,75.88,76.00,21941.90,1665.02
CPALL,2019-03-21,76.00,76.00,75.00,75.56,75.50,20673.45,1562.15
CPALL,2019-03-22,75.50,76.25,75.00,75.65,76.00,20192.69,1527.55
CPALL,2019-03-25,75.00,75.50,74.00,74.51,74.00,49428.98,3683.45
CPALL,2019-03-26,74.25,74.50,74.00,74.21,74.00,31884.49,2366.26
CPALL,2019-03-27,74.00,74.50,73.50,74.04,74.25,24891.73,1842.92
CPALL,2019-03-28,74.00,74.50,74.00,74.21,74.25,16359.79,1214.00
CPALL,2019-03-29,74.25,75.25,74.25,74.68,74.75,21082.73,1574.51
CPALL,2019-04-01,74.75,76.00,74.75,75.60,75.75,27947.50,2112.94
CPALL,2019-04-02,76.00,76.50,75.75,76.09,76.25,16187.46,1231.77
CPALL,2019-04-03,76.50,76.50,75.50,75.95,76.00,13760.78,1045.16
CPALL,2019-04-04,76.00,76.00,75.00,75.48,75.25,16640.51,1255.97
CPALL,2019-04-05,75.25,76.50,75.25,76.05,76.25,12332.24,937.86
CPALL,2019-04-09,76.25,77.00,76.00,76.53,77.00,23376.15,1789.09
CPALL,2019-04-10,77.00,77.50,76.50,77.09,77.00,14293.41,1101.91
CPALL,2019-04-11,77.25,77.25,76.50,76.96,77.25,13845.57,1065.60
CPALL,2019-04-12,77.25,77.25,76.50,76.79,77.00,9208.02,707.04
CPALL,2019-04-17,77.25,78.00,77.00,77.47,77.25,20810.57,1612.24
CPALL,2019-04-18,77.50,77.75,77.00,77.27,77.00,16990.16,1313.79
CPALL,2019-04-19,77.00,77.50,76.75,77.22,77.25,4904.14,378.68
CPALL,2019-04-22,77.50,77.50,77.00,77.34,77.50,8604.83,665.47
CPALL,2019-04-23,77.75,78.00,77.25,77.60,77.50,9048.32,702.19
CPALL,2019-04-24,77.75,78.25,77.50,77.88,78.00,13730.35,1069.35
CPALL,2019-04-25,77.75,78.00,76.75,77.13,76.75,17140.23,1321.95
CPALL,2019-04-26,76.50,77.00,76.00,76.58,76.75,20454.90,1566.43
CPALL,2019-04-29,77.00,77.25,76.50,76.98,77.00,9475.39,729.43
CPALL,2019-04-30,77.00,77.75,76.75,77.26,77.50,15111.17,1167.47
CPALL,2019-05-02,77.75,78.00,77.50,77.71,77.50,18497.27,1437.33
CPALL,2019-05-03,77.00,77.75,76.75,77.34,77.50,12298.12,951.12
CPALL,2019-05-07,77.00,77.00,76.25,76.55,76.25,17859.69,1367.03
CPALL,2019-05-08,75.75,76.50,75.50,76.06,76.00,19456.28,1479.93
CPALL,2019-05-09,76.00,76.25,75.75,75.96,75.75,15759.40,1197.09
CPALL,2019-05-10,77.00,77.25,76.00,76.78,76.75,38473.77,2953.91
CPALL,2019-05-13,77.00,77.25,76.25,76.64,76.25,14956.05,1146.25
CPALL,2019-05-14,76.00,77.25,75.75,76.63,77.25,25440.79,1949.59
CPALL,2019-05-15,77.25,77.25,76.50,76.79,76.50,12827.02,984.91
CPALL,2019-05-16,76.25,76.75,76.00,76.32,76.25,25333.36,1933.33
CPALL,2019-05-17,76.75,77.25,76.50,76.84,76.75,28594.00,2197.22
CPALL,2019-05-21,77.00,77.00,76.25,76.54,76.25,18433.50,1410.95
